Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_polarity
2009-02-25,0.027327392,0.06927916,0.90339345,0.876066,1
2009-03-02,0.10186417,0.6292596,0.26887622,0.16701207,1
2009-03-03,0.009989392,0.9686771,0.021333493,0.011344101,0
2009-03-04,0.0128409,0.9576589,0.029500263,0.016659364,0
2009-03-05,0.06427691,0.8448308,0.09089234,0.026615426,0
2009-03-09,0.08060568,0.042060267,0.8773341,0.79672843,1
2009-03-13,0.04345596,0.047560282,0.9089838,0.86552787,1
2009-03-18,0.05012728,0.036390394,0.91348237,0.8633551,1
2009-03-26,0.02742371,0.5303067,0.44226962,0.4148459,1
2009-04-06,0.044751763,0.49387288,0.46137536,0.4166236,1
2009-04-13,0.06665598,0.2970092,0.6363349,0.5696789,1
2009-04-17,0.008614465,0.94427866,0.047106855,0.03849239,0
2009-04-28,0.009953542,0.959553,0.03049344,0.020539898,0
2009-04-30,0.071458854,0.46940073,0.4591404,0.38768154,1
2009-05-07,0.07173656,0.3878419,0.5404216,0.46868503,1
2009-05-11,0.23603542,0.21692094,0.5470437,0.31100827,1
2009-05-29,0.025951711,0.0675787,0.9064696,0.8805179,1
2009-06-01,0.036623754,0.0566729,0.90670335,0.8700796,1
2009-06-05,0.029233875,0.066120304,0.90464586,0.875412,1
2009-06-11,0.06880188,0.48225573,0.4489424,0.3801405,1
2009-06-17,0.2817861,0.3428291,0.37538472,0.093598604,0
2009-06-19,0.068428226,0.010467572,0.9211042,0.852676,1
2009-06-24,0.0374831,0.03622241,0.9262945,0.8888114,1
2009-07-01,0.21322383,0.08768395,0.6990922,0.4858684,1
2009-07-02,0.026361518,0.071248785,0.90238965,0.8760281,1
2009-07-08,0.024282321,0.10687903,0.8688386,0.8445563,1
2009-07-09,0.083506234,0.02558328,0.89091045,0.8074042,1
2009-07-13,0.05839139,0.0183126,0.92329603,0.86490464,1
2009-07-31,0.091740884,0.06346483,0.8447943,0.75305337,1
2009-08-05,0.8721379,0.03400748,0.09385455,-0.77828336,-1
2009-08-07,0.028176136,0.065590076,0.9062337,0.8780576,1
2009-08-11,0.06873567,0.033749256,0.8975151,0.82877946,1
2009-08-13,0.034345936,0.123856716,0.84179735,0.8074514,1
2009-08-14,0.044559468,0.013812448,0.9416281,0.8970686,1
2009-08-19,0.21237469,0.012406928,0.7752183,0.5628436,1
2009-08-31,0.02818819,0.0691693,0.9026425,0.8744543,1
2009-09-01,0.02769091,0.06366009,0.908649,0.88095814,1
2009-09-02,0.04850968,0.31197056,0.6395198,0.59101015,1
2009-09-08,0.81690836,0.011310184,0.17178144,-0.64512694,-1
2009-09-09,0.054285187,0.027965892,0.9177489,0.86346376,1
2009-09-10,0.024721622,0.04523453,0.9300439,0.90532225,1
2009-09-11,0.22025037,0.49318537,0.28656417,0.0663138,0
2009-09-14,0.023732847,0.09593675,0.8803303,0.8565975,1
