Date,log_return,VIX,realized_vol,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_label
2017-11-01,0.0015908441079038,10.199999809265137,0.003125214267191817,0,0.9974644880604457,0.0025354332980996536,7.864145607939618e-08,Low Vol
2017-11-02,0.0001899477696667,9.93000030517578,0.0029134186607142325,0,0.9976625984500681,0.0023373370655201953,6.448441305631005e-08,Low Vol
2017-11-03,0.0030922893263143,9.140000343322754,0.0029406555291694256,0,0.9977409753885922,0.0022589655888890967,5.90225199721716e-08,Low Vol
2017-11-06,0.0012704438847764,9.399999618530272,0.002879765702882129,0,0.9977397813862345,0.0022601582978225314,6.031594417149555e-08,Low Vol
2017-11-07,-0.0001891208050819,9.890000343322754,0.0028694512393581287,0,0.9975867467049614,0.002413185681188355,6.761385155715122e-08,Low Vol
2017-11-08,0.0014426139320604,9.779999732971191,0.002863823379825836,0,0.9973326238600555,0.002667293497178964,8.264276684775576e-08,Low Vol
2017-11-09,-0.0037689813393701,10.5,0.0029923595848255964,0,0.996651234133115,0.003348665258927352,1.0060795889989355e-07,Low Vol
2017-11-10,-0.0008980469760537,11.289999961853027,0.0030117177857629973,0,0.996888097717298,0.0031117853338360883,1.1694886712589151e-07,Low Vol
2017-11-13,0.000983150911293,11.5,0.003000745453692921,0,0.9966503517207651,0.003349507933023553,1.4034621243077386e-07,Low Vol
2017-11-14,-0.0023122805602819,11.59000015258789,0.003066727520475662,0,0.9956137308529632,0.004386072647219694,1.9649981814450112e-07,Low Vol
2017-11-15,-0.0055409987421236,13.130000114440918,0.0033375150199414626,0,0.993860716167833,0.006138999210077603,2.8462209044316e-07,Low Vol
2017-11-16,0.0081626527829724,11.760000228881836,0.003797964724297158,0,0.9927916615530127,0.007208020883783462,3.175632049201998e-07,Low Vol
2017-11-17,-0.0026294169788973,11.43000030517578,0.003692194850193449,0,0.994605127624797,0.005394605637623177,2.667375807933891e-07,Low Vol
2017-11-20,0.0012748698887901,10.649999618530272,0.0035738250640319556,0,0.995820321048459,0.0041794689461027885,2.1000543911099764e-07,Low Vol
2017-11-21,0.0065198388797526,9.729999542236328,0.003825783167206474,0,0.9958295951996807,0.004170225857383708,1.7894293633210811e-07,Low Vol
2017-11-22,-0.0007505427033295,9.880000114440918,0.003638274020740631,0,0.9961830376644882,0.0038167874675734074,1.748679391666359e-07,Low Vol
2017-11-24,0.0020539842782319,9.670000076293944,0.0036481002379939384,0,0.9960687421567325,0.003931063609860144,1.9423340796860077e-07,Low Vol
2017-11-27,-0.0003843315868032,9.869999885559082,0.0032324486268827906,0,0.9948568379458295,0.005142905953120301,2.56101051058409e-07,Low Vol
2017-11-28,0.0098003321967936,10.029999732971191,0.0037394959579656784,0,0.992191844425155,0.007807811176003093,3.443988425482198e-07,Low Vol
2017-11-29,-0.0003692938827907,10.699999809265137,0.0037528246171427524,0,0.9934629909128577,0.006536618993824495,3.9009331849837734e-07,Low Vol
2017-11-30,0.0081575866628111,11.279999732971191,0.004082178325105817,0,0.9929381067717061,0.007061546395639894,3.4683265462356033e-07,Low Vol
2017-12-01,-0.0020265829358053,11.43000030517578,0.00414367566130391,0,0.9946638680754565,0.0053358550177207325,2.769068233226379e-07,Low Vol
2017-12-04,-0.0010527105492864,11.68000030517578,0.004147411693591109,0,0.9956279558318034,0.004371828333600123,2.1583459706635764e-07,Low Vol
2017-12-05,-0.0037463905259553,11.329999923706056,0.004279001690851844,0,0.9957181277095883,0.004281706259913229,1.6603049913951326e-07,Low Vol
2017-12-06,-0.0001141121705303,11.020000457763672,0.0042781806716394736,0,0.996724437150048,0.0032754385028703997,1.2434708216219326e-07,Low Vol
2017-12-07,0.0029280670101093,10.15999984741211,0.0043038367861122214,0,0.9971724076679186,0.002827492747779904,9.9584302007868e-08,Low Vol
2017-12-08,0.0054912020355181,9.579999923706056,0.004282865928153808,0,0.9971563373152661,0.0028435720100178806,9.067471665915784e-08,Low Vol
2017-12-11,0.0031968421216958,9.34000015258789,0.004271259965606798,0,0.9972245097508784,0.0027753926953072053,9.755381495045545e-08,Low Vol
2017-12-12,0.0015477237220895,9.920000076293944,0.004269654237799166,0,0.9968431822292104,0.0031566946960196436,1.2307477038092268e-07,Low Vol
2017-12-13,-0.0004730689701501,10.18000030517578,0.004202263885687524,0,0.9957794846754919,0.004220334166720968,1.8115778744905715e-07,Low Vol
2017-12-14,-0.0040791677307626,10.489999771118164,0.004082484897200015,0,0.9939076047204339,0.006092124048420749,2.712311455340843e-07,Low Vol
2017-12-15,0.0089343134101427,9.420000076293944,0.004150108546508286,0,0.9933035320211139,0.006696154534317917,3.1344456818113575e-07,Low Vol
2017-12-18,0.0053484785795975,9.529999732971191,0.004093686570360237,0,0.9945311558826506,0.005468556652284249,2.874650651278148e-07,Low Vol
2017-12-19,-0.0032354980431185,10.029999732971191,0.0042630146683437535,0,0.9947856699605508,0.005214096625739588,2.334137096134136e-07,Low Vol
2017-12-20,-0.0008282360735725,9.720000267028809,0.0041581061527865195,0,0.9959818800422862,0.004017949380804565,1.7057690937565056e-07,Low Vol
2017-12-21,0.0019836870126583,9.619999885559082,0.004124339269901261,0,0.996790539723545,0.003209330030392133,1.3024606284802e-07,Low Vol
2017-12-22,-0.0004582716381137,9.899999618530272,0.0041497794316412845,0,0.9968878230080441,0.0031120619138208256,1.1507813501531326e-07,Low Vol
2017-12-26,-0.0010589757000585,10.25,0.004168866294601134,0,0.9968280696107835,0.0031718140149352746,1.163742812118718e-07,Low Vol
2017-12-27,0.0007906283102422,10.470000267028809,0.0036828886865856027,0,0.9967465954532881,0.003253270505337913,1.3404137387234484e-07,Low Vol
2017-12-28,0.0018323190029195,10.18000030517578,0.003671218262981595,0,0.9959689163444273,0.004030905040101457,1.7861547130494497e-07,Low Vol
2017-12-29,-0.0051966322927482,11.039999961853027,0.0035431164211001177,0,0.9939342559007109,0.006065488511467623,2.5558782156292546e-07,Low Vol
2018-01-02,0.0082690782183981,9.770000457763672,0.003889374944366663,0,0.9936978449181394,0.006301872374623416,2.827072373935127e-07,Low Vol
2018-01-03,0.006378433243936,9.149999618530272,0.004034792301586008,0,0.994969361308953,0.0050303991484960744,2.3954255122731387e-07,Low Vol
2018-01-04,0.0040205428553269,9.220000267028809,0.0038869371653542087,0,0.9958753357966755,0.004124463522903018,2.0068042159267294e-07,Low Vol
2018-01-05,0.0070091458885853,9.220000267028809,0.004029538470467195,0,0.9958098631740878,0.0041899549896621015,1.818362500844594e-07,Low Vol
2018-01-08,0.0016609637672969,9.520000457763672,0.004026124996546523,0,0.9961289778743119,0.0038708277595607826,1.9436612739556713e-07,Low Vol
2018-01-09,0.0013020835172984,10.079999923706056,0.003946217156991483,0,0.9954487675473618,0.004550984220943387,2.482316948561975e-07,Low Vol
2018-01-10,-0.0011128458115206,9.81999969482422,0.003986106144649752,0,0.99332535758471,0.006674250147778921,3.9226751105542934e-07,Low Vol
2018-01-11,0.007009025768882,9.880000114440918,0.0041631763440096595,0,0.989711734167513,0.010287576422400193,6.894100865782696e-07,Low Vol
2018-01-12,0.006726926399094,10.15999984741211,0.004256977870891385,0,0.985071656091577,0.014927118599819553,1.2253086033490963e-06,Low Vol
2018-01-16,-0.0035307132616026,11.65999984741211,0.004215524932195574,0,0.9781959061539298,0.021801967666998108,2.1261790718164865e-06,Low Vol
2018-01-17,0.009371006206502,11.90999984741211,0.00425270582943494,0,0.9680374304609256,0.03195898181871647,3.5877203575837e-06,Low Vol
2018-01-18,-0.0016176974974736,12.220000267028809,0.004276307023073728,0,0.9646045438860387,0.035390092527972,5.363585989035148e-06,Low Vol
2018-01-19,0.0043756479869901,11.270000457763672,0.004125067184099958,0,0.953011379530354,0.04697979295325952,8.827516386246216e-06,Low Vol
2018-01-22,0.0080343643822132,11.029999732971191,0.00424050900783484,0,0.928579182525759,0.0714016655650173,1.9151909223590352e-05,Low Vol
2018-01-23,0.0021720049682223,11.100000381469728,0.004238834452506654,0,0.9021047960439861,0.09784517481096208,5.0029145051809355e-05,Low Vol
2018-01-24,-0.000560132547232,11.470000267028809,0.004243013060214219,0,0.8406438489180791,0.15920084258813966,0.00015530849378118437,Low Vol
2018-01-25,0.0006024393988328,11.579999923706056,0.004179400232521168,0,0.7116793316435325,0.2877421117353415,0.0005785566211259857,Low Vol
2018-01-26,0.0117716381060841,11.079999923706056,0.004591849743890308,1,0.42961560787953534,0.5678781100982871,0.0025062820221775457,Medium Vol
2018-01-29,-0.006754736284863,13.84000015258789,0.005119802788355893,1,0.3043310301527312,0.6862163812721642,0.009452588575104575,Medium Vol
2018-01-30,-0.010958642805337,14.789999961853027,0.005730776101657328,1,0.18835858865102126,0.7847901564506151,0.026851254898363385,Medium Vol
2018-01-31,0.0004888658586947,13.539999961853027,0.005595924825747752,1,0.160938156516642,0.7805758172740959,0.0584860262092619,Medium Vol
2018-02-01,-0.0006482983520233,13.470000267028809,0.0055480488661086395,1,0.0973480381367712,0.7606953724814784,0.14195658938175015,Medium Vol
2018-02-02,-0.0214366805166988,17.309999465942383,0.007595021738684991,1,0.00011035849083205594,0.6300484118255643,0.36984122968360367,Medium Vol
2018-02-05,-0.0418425409383814,37.31999969482422,0.012022508843836188,1,4.748347258648608e-11,0.5068031916836572,0.4931968082688594,Medium Vol
2018-02-06,0.017290573348937,29.979999542236328,0.012742151040741738,1,3.130155842769544e-06,0.5088406782517784,0.4911561915923788,Medium Vol
2018-02-07,-0.0050141382237526,27.729999542236328,0.012761240209990901,1,0.0013400432938572512,0.5190958931020526,0.4795640636040901,Medium Vol
2018-02-08,-0.0382590522458017,33.459999084472656,0.015204639290013765,1,6.624535057245732e-11,0.518746345180816,0.48125365475293846,Medium Vol
2018-02-09,0.0148256451995243,29.059999465942383,0.015575167897462836,1,4.655274778354051e-05,0.666443636491813,0.33350981076040326,Medium Vol
2018-02-12,0.0138186656781862,25.61000061035156,0.015879976278727104,1,0.0012768371944154905,0.8126690847499854,0.18605407805559881,Medium Vol
2018-02-13,0.0026095219802775,24.969999313354492,0.015916149081397452,1,0.011970397457369473,0.906408838264116,0.08162076427851431,Medium Vol
2018-02-14,0.013313439808897,19.260000228881836,0.016088994928164617,1,0.01414310700909305,0.9454395369461678,0.040417356044738895,Medium Vol
2018-02-15,0.0119968617767752,19.1299991607666,0.016386367160616484,1,0.018822858506032086,0.9618214067403128,0.019355734753655044,Medium Vol
2018-02-16,0.0003733996499216,19.459999084472656,0.016338950107207286,1,0.022216941020238745,0.9682745635629115,0.009508495416849729,Medium Vol
2018-02-20,-0.0058585171068373,20.600000381469727,0.01621117130840089,1,0.017270610978476257,0.9772899066943265,0.005439482327197237,Medium Vol
2018-02-21,-0.0055116644833109,20.020000457763672,0.016195553931149933,1,0.016051649747463072,0.980766658317178,0.0031816919353585588,Medium Vol
2018-02-22,0.0009730774855778,18.719999313354492,0.016208781252641122,1,0.018004446656852056,0.9800678664546594,0.001927686888488401,Medium Vol
2018-02-23,0.015901278245121,16.489999771118164,0.01671167794734353,1,0.011632888951761004,0.9868017720334379,0.0015653390148010337,Medium Vol
2018-02-26,0.0116884386206273,15.800000190734863,0.016708172126749746,1,0.008923104620504252,0.9895415971238822,0.0015352982556133066,Medium Vol
